338,0,Fried fish + sauce,"[0.30793964862823486, -0.6158221960067749, 1.965833067893982]"
692,1,Chickpeas,"[-0.19875922799110413, -0.84261155128479, 1.8828762769699097]"
309,2,"Meats, arranged","[0.02220836840569973, 1.692935585975647, -1.1562141180038452]"
546,3,Japanese style pan fried noodle,"[-0.055235397070646286, 0.45517170429229736, -0.11932308226823807]"
559,4,Chicken rice,"[0.6096007823944092, 0.6183915138244629, -1.948484182357788]"
439,5,Skewered rice dumplings in a sweet soy glaze,"[0.1631663292646408, 1.063657283782959, -0.1742449700832367]"
632,6,Persimmon,"[2.0081045627593994, -2.9913294315338135, 0.6031627655029297]"
296,7,Cajun corn,"[1.733850121498108, -0.8511039614677429, -0.08203757554292679]"
641,8,Dried persimmon,"[0.6527436971664429, 2.1214356422424316, 1.4520881175994873]"
311,9,Pulled pork wrap,"[0.022735539823770523, 0.8216234445571899, -1.4097483158111572]"
176,10,Bread with sausage,"[-0.4036969840526581, -1.8847922086715698, 1.3168621063232422]"
704,11,Okra curry (bhindi),"[-0.8360574245452881, 1.4366605281829834, -1.0824528932571411]"
334,12,Cheese souffle,"[-1.36323881149292, -0.0612637922167778, -0.4839295744895935]"
589,13,Kiwano,"[-1.1282427310943604, 0.45789068937301636, -0.7888054847717285]"
172,14,Tosti with cheese,"[1.5604639053344727, -2.4878227710723877, -1.3478626012802124]"
525,15,Rice,"[-1.4082342386245728, 1.1306047439575195, 0.1540605127811432]"
448,16,Japanese style skewered chicken,"[-1.0425059795379639, -0.47681429982185364, 0.4145585894584656]"
463,17,Rice cracker,"[-0.0333872064948082, -0.4966932535171509, 1.6860296726226807]"
337,18,Fried fish,"[1.3552348613739014, 2.1865344047546387, 0.3547018766403198]"
637,19,Oatmeal with jam,"[-0.16764947772026062, -0.22860386967658997, -0.9598655700683594]"
482,20,Raw sliced salmon,"[-2.0989208221435547, -1.5042344331741333, -0.7413250803947449]"
66,21,Bananas,"[0.22605924308300018, -0.3625752925872803, 0.8065075874328613]"
515,22,Miso soup,"[0.09713233262300491, -0.11409519612789154, 0.6297746896743774]"
673,23,Chicory,"[-1.0827445983886719, -1.0814809799194336, -1.7114458084106445]"
690,24,Eggplant in oil,"[-0.9332969784736633, -0.3801790177822113, -2.076274871826172]"
428,25,Melon-flavored bun,"[-0.749984622001648, -0.8475446701049805, -0.9142214059829712]"
371,26,Simmered hijiki,"[-0.3957901895046234, 0.4051472246646881, 0.11115597933530807]"
250,27,Asparagus burger,"[0.6081912517547607, 0.9764065742492676, 0.39113670587539673]"
293,28,Chicken nuggets,"[0.17486152052879333, 0.023192983120679855, 1.2044637203216553]"
668,29,Quinoa salad,"[-0.2780683934688568, -0.606504499912262, 1.1265814304351807]"
29,30,Cashew nuts,"[1.8660948276519775, 0.27161744236946106, -0.891106367111206]"
454,31,Simmered bamboo shoots with dried bonito flake,"[-0.20841184258460999, -1.0038472414016724, 1.112223505973816]"
85,32,Tiramisu,"[1.4570808410644531, -0.47994333505630493, 0.4339017868041992]"
351,33,Mixed fruit,"[-1.5068715810775757, 0.3557526767253876, 2.377917528152466]"
467,34,Boiled fish paste,"[0.621487021446228, 1.613153100013733, -0.6217960715293884]"
294,35,Chicken wrap,"[0.2735370099544525, 0.8798487782478333, 0.7350531220436096]"
737,36,Instant ramen noodles,"[1.5105983018875122, -1.5115184783935547, -1.743120551109314]"
461,37,Young sand lance and walnut boiled down in soy,"[0.34131309390068054, 0.4932349622249603, 0.2872079610824585]"
380,38,Roll cake,"[-0.5866017937660217, 1.39763605594635, 0.11669012904167175]"
51,39,Sausage rolls,"[1.6945451498031616, -1.6346648931503296, -0.232057124376297]"
367,40,Sweet boiled beans,"[0.2967533469200134, 0.2881819009780884, 0.12137790769338608]"
398,41,Pickled eggplant,"[2.229693651199341, -2.1238293647766113, -1.2872177362442017]"
745,42,Hachis Parmentier (French casserole),"[-0.6417808532714844, -1.4219127893447876, -0.7268080115318298]"
700,43,Tortilla wrap,"[-0.47948482632637024, -1.5522985458374023, -0.4096646010875702]"
31,44,"Chips, Lays","[0.44228073954582214, -0.5791014432907104, -0.694001317024231]"
249,45,Croquettes,"[1.4123576879501343, 0.1558285504579544, 2.381675958633423]"
502,46,Japanese wheat noodle (udon),"[0.5036118626594543, 1.5026642084121704, -1.1788737773895264]"
48,47,Pistache nuts,"[1.2450584173202515, 1.1071709394454956, -0.15352967381477356]"
422,48,Chilled Chinese noodles,"[-1.4290670156478882, -0.6486344933509827, 1.8911874294281006]"
304,49,Gingerbread,"[-0.8070475459098816, -1.6997712850570679, 1.1347543001174927]"
427,50,Rice ball,"[0.7963406443595886, -0.4906460642814636, -0.34426718950271606]"
44,51,Pineapple,"[-0.7639690041542053, -1.1544413566589355, 0.8174221515655518]"
149,52,Yellow bell pepper,"[0.6333988904953003, 0.2808127701282501, -2.2450380325317383]"
741,53,Cereal galette and whole wheat pasta,"[0.26421383023262024, -0.012080681510269642, -1.6921206712722778]"
722,54,Dried shiitake mushrooms,"[-2.489135503768921, -2.0318703651428223, 0.7022490501403809]"
547,55,Japanese rice cake wrapped with dried seaweed laver,"[1.5851801633834839, -1.7883135080337524, -1.0975525379180908]"
101,56,Crackers,"[2.3075859546661377, -0.9637404680252075, -0.25723427534103394]"
617,57,Tamarillo,"[-0.738871157169342, -1.8595942258834839, -1.3695850372314453]"
434,58,"Deep-fried curry bread, cut","[1.339991807937622, -2.372110605239868, -1.1714789867401123]"
593,59,Lucuma,"[0.9512336254119873, -0.7383649349212646, -0.7435399293899536]"
83,60,Apple pie,"[-0.5145710110664368, 0.9650129079818726, 1.1443732976913452]"
16,61,Hazelnuts,"[0.2805529832839966, -1.6388217210769653, -1.3206026554107666]"
164,62,"Caprese, mozzerella and tomatoes","[0.5802547335624695, -1.6900899410247803, -0.6533438563346863]"
731,63,Curry roux,"[0.07517871260643005, 1.5531504154205322, 0.15774640440940857]"
21,64,Stroopwafels (syrup waffles),"[-0.3533981442451477, -1.0072457790374756, -0.28798335790634155]"
834,65,Oliebollen (Dutch donuts) with powder sugar,"[-0.3710334300994873, -0.6621177196502686, 0.9783894419670105]"
353,66,Mashed potatoes with carrot and meatball,"[2.04697322845459, -0.8104023337364197, -0.6986844539642334]"
421,67,Bean paste rice cake wrapped in a cherry leaf,"[0.6779040694236755, 0.5543699264526367, -1.3282195329666138]"
534,68,Shredded and dried squid,"[1.1855252981185913, -0.546310544013977, -0.6609784960746765]"
636,69,Oatmeal,"[0.9642317891120911, -0.525561511516571, -0.8432736992835999]"
648,70,Seeds of watermelon (soy sause flavored),"[0.053187932819128036, -1.899850606918335, 1.9245502948760986]"
312,71,Ice cream cone,"[0.42457687854766846, -0.7435799837112427, -0.4427046775817871]"
459,72,Steamed meat bun,"[1.6505476236343384, 0.01930708810687065, 1.218669056892395]"
129,73,Banana chips,"[-0.46531060338020325, 0.2987223267555237, 0.5971843004226685]"
604,74,Yellow pitahaya (dragon fruit),"[-0.6169702410697937, 0.223419651389122, -0.7544141411781311]"
369,75,Kinpira burdock,"[-0.38752874732017517, 0.018211359158158302, 1.5274035930633545]"
707,76,Gnocchi,"[2.524775266647339, -2.7842772006988525, 1.0143646001815796]"
655,77,Century egg,"[1.370169758796692, -0.31650224328041077, 1.1720994710922241]"
388,78,Grilled salmon,"[-0.46079838275909424, 1.3570348024368286, -1.2353284358978271]"
290,79,French fries with mayonnaise,"[0.12010016292333603, 1.0643151998519897, -0.9023689031600952]"
563,80,Rice burger,"[2.1561193466186523, -1.1187078952789307, 0.8661696910858154]"
669,81,Pomegranate,"[0.23291006684303284, 0.26397764682769775, -1.587182641029358]"
512,82,Simmered mackerel with miso,"[-0.4805290997028351, 0.6400612592697144, -0.5842694640159607]"
313,83,Rocket ice cream (popsicles),"[-1.3436567783355713, 0.9731541275978088, 0.5187857151031494]"
404,84,Summer roll (spring roll),"[1.3291035890579224, 0.5544867515563965, -0.7375046014785767]"
352,85,Mashed potatoes with carrot,"[-0.7271466851234436, 1.064550757408142, 0.3534241318702698]"
638,86,Polenta (boiled cornmeal),"[-0.4040340483188629, 0.38120436668395996, 0.771489679813385]"
148,87,Red bell pepper,"[1.3123348951339722, -0.12840990722179413, 0.5584123134613037]"
623,88,Sweet tamarind,"[1.6528699398040771, -1.6704623699188232, -0.7147555947303772]"
436,89,Meat and potato stew,"[0.7006062865257263, -0.6999855041503906, -0.6171911358833313]"
